inc_before_tax,ks_net_tax_liab_dol_chg_single,ks_net_tax_liab_dol_chg_mar0kids,ks_net_tax_liab_dol_chg_hoh2kids,ks_net_tax_liab_dol_chg_mar2kids
158970.0,-765.6802,-441.05518,-579.3052,-411.80518
158987.5,-765.79346,-441.16895,-579.41895,-411.91895
159005.0,-765.9077,-441.2827,-579.5327,-412.0327
159022.5,-766.021,-441.39648,-579.6465,-412.14648
159040.0,-766.13525,-441.50977,-579.75977,-412.25977
159057.5,-766.24854,-441.62354,-579.87354,-412.37354
159075.0,-766.3628,-441.7373,-579.9873,-412.4873
159092.5,-766.4761,-441.85107,-580.1011,-412.60107
159110.0,-766.58936,-441.96484,-580.21484,-412.71484
159127.5,-766.7036,-442.0786,-580.3286,-412.8286
159145.0,-766.8174,-442.19287,-580.4429,-412.94287
159162.5,-766.93164,-442.30664,-580.55664,-413.05664
159180.0,-767.0449,-442.41992,-580.6699,-413.16992
159197.5,-767.1592,-442.5337,-580.7837,-413.2837
159215.0,-767.27246,-442.64746,-580.89746,-413.39746
159232.5,-767.3867,-442.76123,-581.0112,-413.51123
159250.0,-767.5,-442.875,-581.125,-413.625
159267.5,-767.6133,-442.98877,-581.2388,-413.73877
159285.0,-767.72754,-443.10254,-581.35254,-413.85254
159302.5,-767.8408,-443.2163,-581.4663,-413.9663
159320.0,-767.9551,-443.33008,-581.5801,-414.08008
159337.5,-768.06836,-443.44336,-581.69336,-414.19336
159355.0,-768.1826,-443.55713,-581.8071,-414.30713
159372.5,-768.2964,-443.6714,-581.9214,-414.4214
159390.0,-768.41064,-443.78516,-582.03516,-414.53516
159407.5,-768.5239,-443.89893,-582.1489,-414.64893
159425.0,-768.6372,-444.0127,-582.2627,-414.7627
159442.5,-768.75146,-444.12646,-582.37646,-414.87646
159460.0,-768.86475,-444.24023,-582.49023,-414.99023
159477.5,-768.979,-444.35352,-582.6035,-415.10352
159495.0,-769.0923,-444.4673,-582.7173,-415.2173
159512.5,-769.20654,-444.58105,-582.83105,-415.33105
159530.0,-769.3198,-444.69482,-582.9448,-415.44482
159547.5,-769.4331,-444.8086,-583.0586,-415.5586
159565.0,-769.54736,-444.92236,-583.17236,-415.67236
159582.5,-769.66113,-445.03662,-583.2866,-415.78662
159600.0,-769.7754,-445.1504,-583.4004,-415.9004
159617.5,-769.8887,-445.26367,-583.5137,-416.01367
159635.0,-770.0029,-445.37744,-583.62744,-416.12744
159652.5,-770.1162,-445.4912,-583.7412,-416.2412
159670.0,-770.23047,-445.60498,-583.855,-416.35498
159687.5,-770.34375,-445.71875,-583.96875,-416.46875
159705.0,-770.45703,-445.83252,-584.0825,-416.58252
159722.5,-770.5713,-445.9463,-584.1963,-416.6963
159740.0,-770.6846,-446.06006,-584.31006,-416.81006
159757.5,-770.7988,-446.17383,-584.4238,-416.92383
159775.0,-770.9121,-446.2871,-584.5371,-417.0371
159792.5,-771.02637,-446.40088,-584.6509,-417.15088
159810.0,-771.14014,-446.51514,-584.76514,-417.26514
159827.5,-771.2544,-446.6289,-584.8789,-417.3789
159845.0,-771.3677,-446.74268,-584.9927,-417.49268
159862.5,-771.48096,-446.85645,-585.10645,-417.60645
159880.0,-771.5952,-446.9702,-585.2202,-417.7202
159897.5,-771.7085,-447.08398,-585.334,-417.83398
159915.0,-771.82275,-447.19727,-585.44727,-417.94727
159932.5,-771.93604,-447.31104,-585.56104,-418.06104
159950.0,-772.0503,-447.4248,-585.6748,-418.1748
159967.5,-772.1636,-447.53857,-585.7886,-418.28857
159985.0,-772.27686,-447.65234,-585.90234,-418.40234
160002.5,-772.3911,-447.7661,-586.0161,-418.5161
160020.0,-772.5049,-447.88037,-586.1304,-418.63037
160037.5,-772.61914,-447.99414,-586.24414,-418.74414
160055.0,-772.7324,-448.10742,-586.3574,-418.85742
160072.5,-772.8467,-448.2212,-586.4712,-418.9712
160090.0,-772.95996,-448.33496,-586.58496,-419.08496
160107.5,-773.0742,-448.44873,-586.6987,-419.19873
160125.0,-773.1875,-448.5625,-586.8125,-419.3125
160142.5,-773.3008,-448.67627,-586.9263,-419.42627
160160.0,-773.41504,-448.79004,-587.04004,-419.54004
160177.5,-773.5283,-448.9038,-587.1538,-419.6538
160195.0,-773.6426,-449.01758,-587.2676,-419.76758
160212.5,-773.75586,-449.13086,-587.38086,-419.88086
160230.0,-773.8701,-449.24463,-587.4946,-419.99463
160247.5,-773.9839,-449.3589,-587.6089,-420.1089
160265.0,-774.09814,-449.47266,-587.72266,-420.22266
160282.5,-774.2114,-449.58643,-587.8364,-420.33643
160300.0,-774.3247,-449.7002,-587.9502,-420.4502
160317.5,-774.43896,-449.81396,-588.06396,-420.56396
160335.0,-774.55225,-449.92773,-588.17773,-420.67773
160352.5,-774.6665,-450.04102,-588.291,-420.79102
160370.0,-774.7798,-450.1548,-588.4048,-420.9048
160387.5,-774.89404,-450.26855,-588.51855,-421.01855
160405.0,-775.0073,-450.38232,-588.6323,-421.13232
